player_id,player_name,pos,foot,birth_date,weight,height,team,gols,assistencias,soma_gol_assist
86220,G. Mercado,DEF,right,19870318,83,180,Argentina,1,1,2
120853,F. Sassi,MID,right,19920318,75,177,Tunisia,1,0,1
55979,M. Jørgensen,DEF,right,19900423,79,191,Denmark,1,0,1
25747,S. Mané,FWD,right,19920410,75,175,Senegal,1,0,1
122832,Salem Al Dawsari,MID,right,19910819,72,171,Saudi Arabia,1,0,1
25898,M. Niang,FWD,right,19941219,75,184,Senegal,1,1,2
32597,Ricardo Quaresma,FWD,right,19830926,67,175,Portugal,1,0,1
49997,S. Zuber,MID,right,19910817,79,182,Switzerland,1,0,1
375348,M. Wagué,DEF,right,19981004,70,177,Senegal,1,0,1
122847,Salman Al Faraj,MID,left,19890801,63,179,Saudi Arabia,1,0,1
94650,G. Haraguchi,MID,right,19910509,68,177,Japan,1,0,1
95200,Young-Gwon Kim,DEF,left,19900227,74,184,Korea Republic,1,0,1
128214,A. Mitrović,FWD,right,19940916,82,189,Serbia,1,0,1
3304,Nacho,DEF,right,19900118,76,180,Spain,1,0,1
38093,M. Batshuayi,FWD,right,19931002,78,185,Belgium,1,0,1
50023,J. Drmic,FWD,right,19920808,81,183,Switzerland,1,0,1
101590,A. Dzagoev,MID,right,19900617,75,179,Russia,1,1,2
20764,L. Muriel,FWD,right,19910416,79,178,Colombia,1,0,1
56274,Y. Poulsen,FWD,right,19940615,78,193,Denmark,1,0,1
29625,K. Boutaïb,FWD,right,19870424,82,189,Morocco,1,0,1
295747,D. Bronn,DEF,right,19950619,76,185,Tunisia,1,0,1
447821,Y. En-Nesyri,FWD,left,19970601,73,189,Morocco,1,0,1
56025,M. Krohn-Dehli,MID,right,19830606,68,170,Denmark,1,0,1
261127,A. Januzaj,MID,left,19950205,75,182,Belgium,1,0,1
125575,K. Waston,DEF,right,19880101,97,196,Costa Rica,1,0,1
112679,F. Baloy,DEF,right,19810224,90,184,Panama,1,0,1
101576,I. Akinfeev,GKP,right,19860408,82,186,Russia,0,0,0
135747,D. Subašić,GKP,right,19841027,84,191,Croatia,0,0,0
10131,J. Pickford,GKP,left,19940307,77,185,England,0,0,0
125774,J. Penedo,GKP,right,19810926,73,183,Panama,0,0,0
7910,David de Gea,GKP,right,19901107,82,193,Spain,0,0,0
37896,E. Kawashima,GKP,right,19830320,74,185,Japan,0,0,0
25662,D. Ospina,GKP,right,19880831,76,183,Colombia,0,0,0
3429,T. Courtois,GKP,left,19920511,94,199,Belgium,0,0,0
70134,Rui Patrício,GKP,left,19880215,84,190,Portugal,0,0,0
120784,F. Ben Mustapha,GKP,right,19890701,83,192,Tunisia,0,0,0
25381,H. Lloris,GKP,left,19861226,82,188,France,0,0,0
49855,Y. Sommer,GKP,right,19881217,79,183,Switzerland,0,0,0
3915,K. Navas,GKP,right,19861215,78,185,Costa Rica,0,0,0
57226,H. Halldórsson,GKP,right,19870427,89,194,Iceland,0,0,0
7849,W. Szczęsny,GKP,right,19900418,84,196,Poland,0,0,0
90991,F. Armani,GKP,right,19860116,89,189,Argentina,0,0,0
122561,Abdullah Al Mayouf,GKP,right,19870123,92,187,Saudi Arabia,0,0,0
50798,R. Olsen,GKP,right,19900108,89,196,Sweden,0,0,0
8480,K. Schmeichel,GKP,right,19861105,76,185,Denmark,0,0,0
14712,M. Neuer,GKP,right,19860327,92,193,Germany,0,0,0
285491,F. Uzoho,GKP,right,19981028,91,196,Nigeria,0,0,0
127671,V. Stojković,GKP,right,19830728,94,196,Serbia,0,0,0
133897,K. N'Diaye,GKP,right,19850405,78,191,Senegal,0,0,0
6509,Munir,GKP,right,19890510,80,190,Morocco,0,0,0
3551,W. Caballero,GKP,right,19810928,80,186,Argentina,0,0,0
120000,Mohamed El Shenawy,GKP,right,19881218,78,191,Egypt,0,0,0
214220,Alisson,GKP,left,19921002,91,191,Brazil,0,0,0
32641,F. Muslera,GKP,right,19860616,84,190,Uruguay,0,0,0
256043,Hyun-Woo Cho,GKP,right,19910925,75,189,Korea Republic,0,0,0
238031,A. Beiranvand,GKP,right,19920921,81,192,Iran,0,0,0
114798,P. Gallese,GKP,right,19900223,77,189,Peru,0,0,0
120269,Essam El Hadary,GKP,right,19730115,87,188,Egypt,0,0,0
149050,M. Hassen,GKP,right,19950305,80,186,Tunisia,0,0,0
248328,Mohammed Al Owais,GKP,left,19911010,79,187,Saudi Arabia,0,0,0
122562,Yasser Al Mosailem,GKP,right,19840227,88,186,Saudi Arabia,0,0,0
69353,L. Kalinić,GKP,right,19900403,96,201,Croatia,0,0,0
25393,D. Lovren,DEF,right,19890705,84,188,Croatia,0,0,0
